Method,Parameter Types,Param Sizes,Total Param Size
pt.ist.socialsoftware.edition.text.domain.Surface_Base.setNext(pt.ist.socialsoftware.edition.text.domain.Surface): void,['pt.ist.socialsoftware.edition.text.domain.Surface'],[16],16
pt.ist.fenixframework.DomainMetaClass_Base$1.getValue(pt.ist.fenixframework.DomainMetaClass): pt.ist.fenixframework.DomainMetaClass,['pt.ist.fenixframework.DomainMetaClass'],[16],16
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base$DO_State.displayName,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Tag_Base.get$oidCategory(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.ui.FragInterDto.externalId,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.text.FragmentController.virtualProvidesInterface,[],[],0
"pt.ist.fenixframework.adt.bplustree.AbstractNode_Base.access$100(pt.ist.fenixframework.adt.bplustree.AbstractNode_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.fenixframework.adt.bplustree.AbstractNode_Base', 'boolean']","[16, 1]",17
pt.ist.fenixframework.adt.bplustree.LeafNode_Base.initInstance(): void,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.getDescription() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant_Base.initInstance(): void,[],[],0
pt.ist.socialsoftware.edition.text.domain.Facsimile_Base.handleAttemptToDeleteConnectedObject(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.game.domain.ClassificationGameRound_Base.getClassificationGameParticipant(): pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.FeVirtualRequiresInterface.getAllTwitterCitations() : java.util.List,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.removeCriteria(pt.ist.socialsoftware.edition.virtual.domain.SocialMediaCriteria) : void,['pt.ist.socialsoftware.edition.virtual.domain.SocialMediaCriteria'],[16],16
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.role$$classificationGameParticipant,[],[],0
"pt.ist.socialsoftware.edition.user.domain.Role_Base.get$$relationList(java.lang.String, pt.ist.fenixframework.dml.runtime.Relation): pt.ist.fenixframework.backend.jvstmojb.pstm.RelationList","['java.lang.String', 'pt.ist.fenixframework.dml.runtime.Relation']","[24, 16]",40
pt.ist.socialsoftware.edition.ldod.frontend.domain.Option_Base$1.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.config.Application.signInAdapter() : org.springframework.social.connect.web.SignInAdapter,[],[],0
pt.ist.socialsoftware.edition.text.domain.RefText_Base.setRefFrag(pt.ist.socialsoftware.edition.text.domain.Fragment) : void,['pt.ist.socialsoftware.edition.text.domain.Fragment'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.removeSubSections(pt.ist.socialsoftware.edition.virtual.domain.Section): void,['pt.ist.socialsoftware.edition.virtual.domain.Section'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.exportRandomExpertEditionTEI() : java.lang.String,[],[],0
pt.ist.fenixframework.DomainBPlusTreeData_Base.setTree(pt.ist.fenixframework.DomainBPlusTreeJVSTM) : void,['pt.ist.fenixframework.DomainBPlusTreeJVSTM'],[16],16
