Method,Parameter Types,Param Sizes,Total Param Size
pt.ist.socialsoftware.edition.user.domain.UserModule_Base$DomainRootHasUserModule.UserModule_Base$DomainRootHasUserModule(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base$4.getSet(pt.ist.socialsoftware.edition.virtual.domain.Section): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.socialsoftware.edition.virtual.domain.Section'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base$3.VirtualModule_Base$3(),[],[],0
pt.ist.socialsoftware.edition.user.domain.UserModule_Base.UserModule_Base(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base.make$newState(): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant_Base.getRelationClassificationGameParticipantInGame(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.EditionModule_Base.getRelationEditionModuleHasUiComponent() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGameRound_Base$1.ClassificationGameRound_Base$1(),[],[],0
pt.ist.socialsoftware.edition.text.domain.AnnexNote_Base.setScholarInter(pt.ist.socialsoftware.edition.text.domain.ScholarInter): void,['pt.ist.socialsoftware.edition.text.domain.ScholarInter'],[16],16
pt.ist.socialsoftware.edition.text.domain.PbText_Base.PbText_Base(),[],[],0
java.util.Optional.orElseThrow(java.util.function.Supplier): java.lang.Object,['java.util.function.Supplier'],[16],16
"pt.ist.socialsoftware.edition.text.domain.SpaceText_Base.set$dim(pt.ist.socialsoftware.edition.text.domain.SpaceText$SpaceDim, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['pt.ist.socialsoftware.edition.text.domain.SpaceText$SpaceDim', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.InfoRange_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.text.domain.Source_Base.getRelationSourceHasSourceInters(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.UiComponent_Base.removeMenu(pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu): void,['pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu'],[16],16
pt.ist.socialsoftware.edition.text.domain.HandNote_Base.getManuscript() : pt.ist.socialsoftware.edition.text.domain.ManuscriptSource,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.game.GameController.FEGameRequiresInterface,[],[],0
pt.ist.socialsoftware.edition.text.api.dto.SourceDto.getAltIdentifier(): java.lang.String,[],[],0
main.java.pt.ist.socialsoftware.edition.ldod.frontend.config.TestTagLoggingFilter$TestTagRecord.getSize() : int,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.search.SearchController.simpleSearch(org.springframework.ui.Model): java.lang.String,['org.springframework.ui.Model'],[16],16
pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto.getAcronym(): java.lang.String,[],[],0
pt.ist.fenixframework.consistencyPredicates.Externalization.internalizePredicateMethod(java.lang.String): java.lang.reflect.Method,['java.lang.String'],[24],24
"pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base.set$sourceLink(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.get$date(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.setNumAnnexNotes(int): void,['int'],[4],4
pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord_Base$DO_State.inconsistentPredicate,[],[],0
pt.ist.socialsoftware.edition.text.api.dto.SourceDto.getFormattedDimensions(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.TimeWindow_Base.get$beginDate(): java.lang.String,[],[],0
pt.ist.fenixframework.DomainFenixFrameworkRoot_Base.handleAttemptToDeleteConnectedObject(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.search.api.dto.AuthoralForSearchDto.setMediums(java.lang.String[]): void,['java.lang.String[]'],[24],24
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights_Base$RecommendationModuleHasRecommendationWeights.static {},[],[],0
pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base$1.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
org.springframework.security.config.annotation.web.configurers.LogoutConfigurer.and(): org.springframework.security.config.annotation.SecurityBuilder,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition.role$$member,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.addPbText(pt.ist.socialsoftware.edition.text.domain.PbText) : void,['pt.ist.socialsoftware.edition.text.domain.PbText'],[16],16
pt.ist.socialsoftware.edition.text.api.TextProvidesInterface.getExpertEditionDto(java.lang.String): pt.ist.socialsoftware.edition.text.api.dto.ExpertEditionDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base.set$virtualEditions(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper): void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base.ExpertEditionInter_Base(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base$DO_State.xmlId,[],[],0
"pt.ist.socialsoftware.edition.text.domain.RefText_Base$3.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.virtual.domain.Member_Base.getDate(): org.joda.time.LocalDate,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Range_Base$DO_State.end,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base$PbTextHasScholarInters.relation,[],[],0
"pt.ist.fenixframework.dml.runtime.DirectRelation.remove(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): boolean","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.fenixframework.adt.bplustree.AbstractNode_Base.getRelationAdtNodeHasParent() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.config.WebSocketConfig.configureMessageConverters(java.util.List): boolean,['java.util.List'],[24],24
pt.ist.socialsoftware.edition.text.domain.InfoRange_Base.getStart() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.Surface.role$$prev,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base$DO_State.country,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextModule_Base.setRoot(pt.ist.fenixframework.DomainRoot): void,['pt.ist.fenixframework.DomainRoot'],[16],16
pt.ist.socialsoftware.edition.text.domain.Rend_Base.initInstance(): void,[],[],0
pt.ist.socialsoftware.edition.text.domain.TypeNote_Base.get$oidManuscript(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Tag_Base.setContributor(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.utils.PermissionDTO.read,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.UserAdminController.listUser(org.springframework.ui.Model) : java.lang.String,['org.springframework.ui.Model'],[16],16
"pt.ist.fenixframework.DomainMetaClass_Base.set$initialized(java.lang.Boolean, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.Boolean', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.config.WebSecurityConfig.textEncryptor() : org.springframework.security.crypto.encrypt.TextEncryptor,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Range_Base.get$start(): java.lang.String,[],[],0
org.springframework.security.core.Authentication.getName(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleUserDetails.password,[],[],0
"pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base.set$tweetID(long, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['long', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[8, 16]",24
pt.ist.socialsoftware.edition.text.domain.Dimensions_Base.checkDisconnected(): void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.forms.SignupForm.setSocialMediaService(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.TextModule_Base$4.TextModule_Base$4(),[],[],0
pt.ist.socialsoftware.edition.game.domain.Player_Base.removeClassificationGameParticipant(pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant): void,['pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant'],[16],16
pt.ist.fenixframework.adt.bplustree.DomainInnerNode_Base.init$Instance(boolean): void,['boolean'],[1],1
org.springframework.web.bind.annotation.RequestMethod.GET,[],[],0
pt.ist.fenixframework.consistencyPredicates.FinalConsistencyPredicate_Base.create$allLists(): void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleConnectionRepository.findPrimaryConnection(java.lang.Class): org.springframework.social.connect.Connection,['java.lang.Class'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Category.role$$tag,[],[],0
pt.ist.fenixframework.consistencyPredicates.PublicConsistencyPredicate_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.Taxonomy.role$$categories,[],[],0
"pt.ist.socialsoftware.edition.text.domain.Rend_Base$1.setValue(pt.ist.socialsoftware.edition.text.domain.Rend, pt.ist.socialsoftware.edition.text.domain.TextPortion): void","['pt.ist.socialsoftware.edition.text.domain.Rend', 'pt.ist.socialsoftware.edition.text.domain.TextPortion']","[16, 16]",32
"pt.ist.socialsoftware.edition.text.domain.Dimensions_Base$1.setValue(pt.ist.socialsoftware.edition.text.domain.Dimensions, pt.ist.socialsoftware.edition.text.domain.ManuscriptSource): void","['pt.ist.socialsoftware.edition.text.domain.Dimensions', 'pt.ist.socialsoftware.edition.text.domain.ManuscriptSource']","[16, 16]",32
"pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.putAppTextWithVariations(java.lang.String, java.util.List): java.util.List","['java.lang.String', 'java.util.List']","[24, 24]",48
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.setParentOfFirstText(pt.ist.socialsoftware.edition.text.domain.TextPortion): void,['pt.ist.socialsoftware.edition.text.domain.TextPortion'],[16],16
pt.ist.socialsoftware.edition.text.domain.NoteText_Base.getAnnexNoteCount(): int,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base$2.Tweet_Base$2(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base$4.VirtualModule_Base$4(),[],[],0
pt.ist.fenixframework.DomainMetaClass_Base$5.DomainMetaClass_Base$5(),[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord_Base$DomainConsistencyPredicateDomainDependenceRecords.static {},[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.setEditionId(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.getAuthenticatedUser() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.api.dto.ScholarInterDto.getLdoDDate(): pt.ist.socialsoftware.edition.text.api.dto.LdoDDateDto,[],[],0
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.getScholarInterCount(): int,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getRelationMemberHasVirtualEdition(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base$2.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.get$title(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base.get$number(): int,[],[],0
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.getRank() : int,[],[],0
pt.ist.socialsoftware.edition.text.domain.Surface_Base.getPbText() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.setDate(org.joda.time.LocalDate) : void,['org.joda.time.LocalDate'],[32],32
pt.ist.fenixframework.DomainFenixFrameworkRoot_Base.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationModule_Base.get$oidRoot(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.search.api.dto.ExpertEditionForSearchDto.ExpertEditionForSearchDto(java.lang.String),['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.user.domain.UserModule_Base.getRelationUserModuleHasUserConnections(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.getProfileUrl() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base.setStartPage(int) : void,['int'],[4],4
pt.ist.socialsoftware.edition.game.domain.ClassificationGameRound_Base.getRound() : int,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.FeUserRequiresInterface.getVirtualEditionInterByUrlId(java.lang.String): pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionInterDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.SocialMediaCriteria_Base.getVirtualEdition(): pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.AnnotationSearchJson.getSerialversionuid() : long,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Range_Base.getEndOffset() : int,[],[],0
pt.ist.fenixframework.DomainMetaObject_Base$2.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.fenixframework.DomainRoot_Base.setInstallationData(pt.ist.fenixframework.data.InstallationData): void,['pt.ist.fenixframework.data.InstallationData'],[16],16
pt.ist.fenixframework.DomainMetaObject_Base.get$oidDomainMetaClass(): java.lang.Long,[],[],0
"pt.ist.socialsoftware.edition.text.domain.InfoRange_Base$2.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.game.FeGameRequiresInterface.FeGameRequiresInterface(),[],[],0
pt.ist.socialsoftware.edition.user.domain.Role_Base.checkMultiplicityOfUserModule() : boolean,[],[],0
pt.ist.socialsoftware.edition.user.domain.User_Base$UserHasRegistrationToken.relation,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.enums.Medium.RED_INK,[],[],0
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.removeRefText(pt.ist.socialsoftware.edition.text.domain.RefText): void,['pt.ist.socialsoftware.edition.text.domain.RefText'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleUsersConnectionRepository.createConnectionRepository(java.lang.String) : org.springframework.social.connect.ConnectionRepository,['java.lang.String'],[24],24
java.util.Map.get(java.lang.Object): java.lang.Object,['java.lang.Object'],[16],16
java.util.Comparator.comparing(java.util.function.Function): java.util.Comparator,['java.util.function.Function'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Tag_Base.role$$category,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.ui.FragInterDto.fragmentXmlId,[],[],0
"org.joda.time.DateTime.parse(java.lang.String, org.joda.time.format.DateTimeFormatter): org.joda.time.DateTime","['java.lang.String', 'org.joda.time.format.DateTimeFormatter']","[24, 16]",40
pt.ist.socialsoftware.edition.ldod.frontend.reactUi.ReactUiController.getModuleInfo() : org.springframework.http.ResponseEntity,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getSelectedByCount(): int,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.setLastChildText(pt.ist.socialsoftware.edition.text.domain.TextPortion) : void,['pt.ist.socialsoftware.edition.text.domain.TextPortion'],[16],16
pt.ist.fenixframework.DomainMetaClass_Base$DomainMetaSuperclassDomainMetaSubclasses.relation,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.SocialMediaCriteria_Base$1.getValue(pt.ist.socialsoftware.edition.virtual.domain.SocialMediaCriteria): pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition,['pt.ist.socialsoftware.edition.virtual.domain.SocialMediaCriteria'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.domain.EditionModule.setName(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base.get$rl$virtualEditions(): pt.ist.fenixframework.backend.jvstmojb.pstm.RelationList,[],[],0
"pt.ist.socialsoftware.edition.text.domain.Facsimile_Base.access$300(pt.ist.socialsoftware.edition.text.domain.Facsimile_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.text.domain.Facsimile_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.text.domain.Heteronym_Base.removeSource(pt.ist.socialsoftware.edition.text.domain.Source): void,['pt.ist.socialsoftware.edition.text.domain.Source'],[16],16
pt.ist.socialsoftware.edition.text.api.dto.ScholarInterDto.getNumber(): int,[],[],0
pt.ist.socialsoftware.edition.text.domain.PrintedSource_Base.PrintedSource_Base(),[],[],0
pt.ist.socialsoftware.edition.user.domain.User_Base.checkMultiplicityOfUserModule(): boolean,[],[],0
pt.ist.socialsoftware.edition.user.domain.User_Base.getFirstName() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.about.AboutController.showContact() : java.lang.String,[],[],0
pt.ist.fenixframework.adt.bplustree.LeafNode_Base$AdtLeafNodeHasSibling.relation,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextModule_Base$1.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.text.domain.NullHeteronym_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
"pt.ist.socialsoftware.edition.ldod.frontend.reactUi.ReactUiController.getInterMetaInfo(java.lang.String, java.lang.String) : org.springframework.http.ResponseEntity","['java.lang.String', 'java.lang.String']","[24, 24]",48
org.springframework.web.socket.config.annotation.StompEndpointRegistry.addEndpoint(java.lang.String[]): org.springframework.web.socket.config.annotation.StompWebSocketEndpointRegistration,['java.lang.String[]'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.addIsUsedBy(pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition) : void,['pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition'],[16],16
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.getUserModule(): pt.ist.socialsoftware.edition.user.domain.UserModule,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.getSubSections(): java.util.Set,[],[],0
pt.ist.fenixframework.DomainBPlusTreeData_Base.static {},[],[],0
pt.ist.socialsoftware.edition.text.domain.Heteronym_Base.getSource() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.HumanAnnotation_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
"pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionInterDto.dissociate(java.lang.String, java.lang.String): void","['java.lang.String', 'java.lang.String']","[24, 24]",48
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base$2.getSet(pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter'],[16],16
pt.ist.socialsoftware.edition.user.domain.UserModule_Base.role$$token,[],[],0
pt.ist.socialsoftware.edition.virtual.api.dto.CategoryDto.getExternalId(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.AltTextWeight_Base.setSegText(pt.ist.socialsoftware.edition.text.domain.SegText): void,['pt.ist.socialsoftware.edition.text.domain.SegText'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Section_Base.getVirtualEditionInter() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base$2.getSet(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.virtual.APIVirtualEditionController.logger,[],[],0
pt.ist.socialsoftware.edition.text.domain.Surface_Base.addRefText(pt.ist.socialsoftware.edition.text.domain.RefText): void,['pt.ist.socialsoftware.edition.text.domain.RefText'],[16],16
"pt.ist.socialsoftware.edition.text.domain.DelText_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.fenixframework.adt.bplustree.LeafNode_Base$1.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.domain.EditionModule_Base.getName() : java.lang.String,[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base.setLocation(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.utils.dto.MainFragmentDto.setXmlId(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate_Base.get$rl$domainDependenceRecord(): pt.ist.fenixframework.backend.jvstmojb.pstm.RelationList,[],[],0
pt.ist.fenixframework.consistencyPredicates.PrivateConsistencyPredicate_Base.initInstance(): void,[],[],0
pt.ist.socialsoftware.edition.text.domain.Surface_Base$SurfaceNextSurface.relation,[],[],0
java.io.IOException.printStackTrace(): void,[],[],0
pt.ist.socialsoftware.edition.user.domain.UserModule_Base$3.getValue(pt.ist.socialsoftware.edition.user.domain.UserModule): pt.ist.fenixframework.DomainRoot,['pt.ist.socialsoftware.edition.user.domain.UserModule'],[16],16
pt.ist.socialsoftware.edition.game.domain.Player_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.RefText_Base$2.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
"pt.ist.socialsoftware.edition.text.domain.Fragment_Base.access$000(pt.ist.socialsoftware.edition.text.domain.Fragment_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.text.domain.Fragment_Base', 'boolean']","[16, 1]",17
"pt.ist.socialsoftware.edition.ldod.frontend.text.EditionController.getCategoryTableOfContents(org.springframework.ui.Model, java.lang.String, java.lang.String): java.lang.String","['org.springframework.ui.Model', 'java.lang.String', 'java.lang.String']","[16, 24, 24]",64
pt.ist.socialsoftware.edition.virtual.domain.HumanAnnotation.role$$tag,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleConnectionRepository$callable$removeConnection.UserModuleConnectionRepository$callable$removeConnection(pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleConnectionRepository, org.springframework.social.connect.ConnectionKey)","['pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleConnectionRepository', 'org.springframework.social.connect.ConnectionKey']","[16, 16]",32
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.setVirtualModule4Virtual(pt.ist.socialsoftware.edition.virtual.domain.VirtualModule): void,['pt.ist.socialsoftware.edition.virtual.domain.VirtualModule'],[16],16
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.socialsoftware.edition.text.domain.Citation_Base.role$$awareAnnotation,[],[],0
pt.ist.socialsoftware.edition.text.domain.RdgText_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
pt.ist.fenixframework.DomainBPlusTreeData_Base.DomainBPlusTreeData_Base(),[],[],0
pt.ist.socialsoftware.edition.text.domain.Facsimile_Base.getSource() : pt.ist.socialsoftware.edition.text.domain.Source,[],[],0
pt.ist.socialsoftware.edition.text.domain.Source_Base.getType() : pt.ist.socialsoftware.edition.text.domain.Source$SourceType,[],[],0
pt.ist.socialsoftware.edition.text.domain.Fragment_Base$4.Fragment_Base$4(),[],[],0
"pt.ist.socialsoftware.edition.virtual.api.VirtualProvidesInterface.updateHumanAnnotation(java.lang.String, java.lang.String, java.util.List): pt.ist.socialsoftware.edition.virtual.api.dto.HumanAnnotationDto","['java.lang.String', 'java.lang.String', 'java.util.List']","[24, 24, 24]",72
pt.ist.socialsoftware.edition.text.domain.TextModule_Base.getExpertEditions() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.game.domain.Player_Base$ClassificationModuleHasPlayers.relation,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter.role$$heteronym,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base$5.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.AwareAnnotation_Base.checkMultiplicityOfCitation(): boolean,[],[],0
pt.ist.fenixframework.DomainBPlusTreeJVSTM_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
pt.ist.socialsoftware.edition.virtual.domain.Range_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
"pt.ist.socialsoftware.edition.text.domain.AltTextWeight_Base$1.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
